NR035	Explicit enum discriminants not yet supported	Explicit enum discriminants `enum X { A = N }` are not yet supported in v0.6 — the parser halts at the `=` token.	v0.6.35 — closes probe finding 2026-05-01-enum-discriminant-segfaults-compiler. Workaround: drop the `= N` and rely on order-based discriminants (`enum Code { OK, WARN, ERR }` lowers to 0, 1, 2). For FFI / wire-protocol values needing specific numbers, build a separate `const` table. Real explicit-discriminant lowering is forward-roadmap (needs the enum AST to carry per-variant i64 values + IR-emit propagation to match-arm dispatch).	
NR036	Self-recursive struct without Box / & indirection (Rust E0072)	A struct that contains itself directly (`struct Node { next: Node }`) has infinite size — Rust E0072. Wrap the recursive field in `Box<Node>` (heap indirection), `Option<Box<Node>>` (linked-list / tree shape with terminator), or `&Node` (reference) so the field is a fixed size.	v0.6.36 — closes probe finding 2026-05-01-self-recursive-struct-infinite-size-accepted. Pre-fix `struct Node { val: i64, next: Node }` was accepted at parse + type-check and crashed at instantiation with STATUS_STACK_OVERFLOW (Windows exception 0xC00000FD) — the struct contains itself directly so the size is infinite. v0.6.36 catches it at parse-time. Wrap the recursive field in `Box<Node>` / `Option<Box<Node>>` / `&Node` so the field is a fixed size. Real recursive-struct lowering through Box is already supported; only the bare-recursion case needs the halt.	
NR040	IR Lowering Failure	The typed AST could not be lowered into compiler IR.	Lowering hit an internal semantic boundary the IR pipeline could not represent. This is usually a compiler implementation gap rather than a front-end syntax issue.	Look at the full message for the unsupported construct.Reduce the program to the smallest failing example.Treat repeated NR040 failures as compiler bugs to fix in lowering.
NR050	Backend Code Generation Failure	IR generation succeeded, but a backend could not emit valid target code.	LLVM rejected the IR, hit an unsupported ABI path, or failed during object emission or linking preparation. (R10-D6 v0.8.278: removed 'Cranelift or' — Nucleor ships only the LLVM backend; no Cranelift backend exists. Phase 2 may add Cranelift as a tier-0 fast-path; until then docs and diagnostics must not imply a backend that's not there.)	Re-run with the other backend to isolate whether the failure is backend-specific.Check the reported symbol or ABI path in the message.Treat verifier or emission failures as backend correctness bugs.
NR051	WASM Backend Unavailable	WASM output was requested without the required backend support.	The current CLI build does not include the backend support required for wasm code generation, or the wasm linker/toolchain is unavailable.	Rebuild the CLI with backend support required for wasm enabled.Install or point NUCLEOR_WASM_LD at a working wasm-ld.Confirm the LLVM toolchain is visible in PATH.
NR070	Manifest or Lockfile Failure	Project metadata, dependency graph, or lockfile state is invalid.	Nucleor could not resolve the project package graph because the manifest was malformed, a dependency could not be found, or the lockfile was missing or stale.	Validate Nucleor.toml syntax and dependency paths.Run nuc lock after manifest changes.Check workspace member and dependency graph cycles.
NR090	Compiler Pipeline Invariant Failure	An internal compiler stage received invalid state from a previous pass.	A compiler pipeline stage ran out of order or consumed data that was not produced by the earlier stage it depends on. This is an internal compiler bug, not a user program error.	Reduce the failing program to a small reproducer.Treat repeated NR090 failures as compiler bugs.Inspect the named pipeline stage and previous stage outputs.
RT-001	Allocation in #[no_alloc] function	A #[no_alloc] function called something that allocates from the global heap.	RFC-0001 #[no_alloc] forbids any expression whose effect set includes alloc. Common offenders: Box::new, Vec::push past capacity, String operations, HashMap::insert. Use a pre-sized container, an arena/pool/tlsf allocator (RFC-0002), or refactor the allocation outside the RT path.	
RT-002	Possibly-panicking expression in #[no_panic] function	A #[no_panic] function contains an expression the compiler cannot prove is panic-free.	RFC-0001 #[no_panic] uses a conservative dataflow analysis. Sources of panic include integer overflow on +/-/*, division by zero, out-of-bounds indexing, unwrap() on Option/Result, and explicit panic!(). Use checked_*/wrapping_*/saturating_* arithmetic, guard divisions, use get() instead of [], and prove safety with assume! (RFC-0004).	
RT-003	Dynamic dispatch in #[no_dyn] function	A #[no_dyn] function uses dynamic (vtable) dispatch via dyn Trait.	RFC-0001 #[no_dyn] forbids dynamic dispatch via Box<dyn Trait> or &dyn Trait. Replace with generics (fn f<T: Trait>(x: T)) for static dispatch, or with an enum-based polymorphism pattern.	
RT-004	Heuristic deadline estimate exceeds declared #[deadline] (NOT certified WCET)	A HEURISTIC compile-time estimator (statement-counter + coarse loop multiplier) flags this function as likely to exceed its declared #[deadline]. RT-004 is NOT certified WCET — it does not model callee cost, ISA, cache, or branch prediction. Use #[allow(RT-004)] / #[allow_fn(RT-004)] when the estimate is wrong; treat the runtime deadline check as the actual contract. Certified WCET is future work (RFC-0001 §Heuristic vs certified WCET).	RFC-0009 static WCET analysis estimates the function's worst-case time exceeds the deadline. Inspect the dominant cost in the report; reduce loop bounds, simplify hot paths, or relax the deadline if appropriate.	
RT-005	FFI call in RT function without #[ffi_no_*] annotation	An RT-tagged function called an extern fn lacking #[ffi_no_alloc] or #[ffi_no_panic].	Calls into C/C++ via extern fn are opaque to the analysis. Mark trusted extern declarations with #[ffi_no_alloc] and/or #[ffi_no_panic] (v0.3.24, RFC-0001 §3.5) -- two separate attributes, not one comma-list. #[deadline] callers need BOTH markers (intersection rule). To skip per-symbol annotation: #[allow(RT-005)] (file-wide).	
RT-006	RT attribute on async fn	RT attributes (#[no_alloc], #[deadline] etc.) cannot be applied to async fn — async semantics break the deadline guarantee.	async fn introduces poll-based scheduling and arbitrary suspend points. RT attributes promise bounded time and no allocation; the two are fundamentally incompatible. Refactor the function as sync, or use rod/tokio (RFC-0030) outside the RT path.	
ASYNC-001	`async` keyword on fn is silently stripped (v0.5 has no Future/.await; use async_spawn + async_await for threading)	Pre-v0.5.19 `async fn foo() { ... }` was silently stripped to `fn foo()` and ran sync immediately. Adopters writing the canonical Rust async pattern got immediate execution with no signal. Nucleor v0.5 has no Future / .await polling; threading is via `async_spawn(fn_ptr, arg)` + `async_await(handle)` (RFC-0027 phase 1). Either drop the `async` keyword for sync fns, or call `async_spawn` to actually thread.	Workaround: drop the `async` keyword if you want sync execution (the keyword was a no-op pre-v0.5.19, now triggers this warning). For real threading, use `async_spawn(fn_ptr, arg)` to spawn the fn on an OS thread → returns an opaque task handle. Then `async_await(handle)` joins the thread and returns the captured i64 result. See stdlib/rods/async.nr and the RFC-0027 phase 1 commitment to threads-only (no green-thread scheduler, no future polling).	
RT-007	Deadline annotation without no_alloc or no_panic	A #[deadline] annotation alone is incomplete — it is hard to reason about deadline without #[no_alloc] or #[no_panic].	Add #[no_alloc] or #[no_panic] (or both) to the fn -- that makes the deadline reasoning sound. To intentionally suppress: #[allow(RT-007)] (file-wide) or #[allow_fn(RT-007)] (per-fn, v0.3.20). The warning surfaces a likely-incomplete annotation.	
RT-008	Recursive call in #[deadline] function without #[max_depth]	A #[deadline] function uses recursion. Bound it with #[max_depth = N] (RFC-0014).	Deadline analysis cannot bound an unbounded recursion. Annotate the function with #[max_depth = N] per RFC-0014 to give the analyzer a depth bound.	
RT-009	Implicit panic-capable expression in #[no_panic] function	A #[no_panic] function contains an integer `/` or `%` operator. Integer divide/modulo panic when the divisor is zero. Phase 1 (v0.8.295) flags this as a warning because the estimator does not yet prove non-zero divisors at the IR level. Suppress with `#[allow_fn(RT-009)]` when the divisor is provably non-zero, or replace with `checked_div` / `checked_rem` for explicit Result-typed handling. Phase 2 (R03-D2) adds IR-level non-zero proof.	Rust's `#[no_panic]` (via the `no_panic` crate) checks at link time. Nucleor checks at build time. The integer-divide-by-zero case is a known gap in Rust's checker too — RT-009 surfaces it explicitly so adopters can decide.	
DIAG-001	Unknown diagnostic code in #[allow]/#[deny] attribute	An #[allow(_fn)(CODE)] or #[deny(_fn)(CODE)] attribute references a CODE that is not in the canonical enumerated diagnostic code set. The suppression or promotion has no effect at compile time -- the diagnostic the author meant to control still fires unsuppressed. Catches both unknown-prefix codes (e.g. WAT-001) and within-series typos (e.g. RT-099 vs RT-009).	v0.3.38 enumerated check: the s1 compiler validates the full CODE substring against the canonical diagnostic code set (mirrored in cli_explain_full_smoke). When minting a new code, add to BOTH the s1 compiler's is_known_diag_code fn AND the cli_explain_full_smoke codes array. To suppress DIAG-001 itself during a noisy refactor: #[allow(DIAG-001)].	
ALLOC-001	Allocated value escapes its allocator	A value allocated in an arena/pool/tlsf cannot outlive its allocator. The borrow checker rejects returning the value when the allocator goes out of scope.	Per RFC-0002, Box<T, A: Allocator> is bound by the lifetime of A. Returning a Box<T, Arena> from a fn whose Arena is local is rejected. Either pass &Arena into the fn (caller owns the arena), or copy the value into a Box<T, Global> before returning.	
ALLOC-002	Allocator type mismatch	Two values from different allocator types cannot be combined where one is required.	Allocator type is part of the value type. fn f(x: Box<T, Arena>) cannot accept a Box<T, Pool>. Use generics (fn f<A: Allocator>(x: Box<T, A>)) for allocator-agnostic APIs.	
ALLOC-003	Allocation forbidden by #[no_alloc]	An allocation site reaches a #[no_alloc(...)] context that forbids that allocator.	RFC-0001 #[no_alloc(...)] accepts an explicit allow-list of allowed allocators. The default #[no_alloc] forbids all four (global/arena/pool/tlsf); narrow with #[no_alloc(global)] etc.	
FRAME-001	Cannot add values in different coordinate frames	Spatial values in different coordinate frames cannot be combined directly. Transform via tf.lookup or apply an explicit Transform.	RFC-0003 typed frames make Pose<World> != Pose<BaseLink> at the type level. To combine, look up the transform: tf.lookup::<World, BaseLink>(time).apply(pose_world).	
FRAME-002	Transform composition mismatch	Transform<A, B> * Transform<C, D> requires B == C. The compiler rejected the composition.	Transform composition Transform<A,B> * Transform<C,D> requires B == C. The compiler enforces the chain at compile time. Reorder, invert one transform, or look up an intermediate.	
FRAME-003	Cannot apply transform to value in incompatible frame	Transform<A, B>.apply(Pose<C>) requires C == A. The compiler rejected the application.	Applying a Transform<From, To> requires the target value to be in the From frame. Convert via lookup of the appropriate transform.	
OWN-001	Use of moved variable	A value was moved into another binding or call; using the original now would alias freed/owned memory. Clone before the move, or restructure to avoid the second use.	Borrow-checker classic: a value was moved (consumed) into a struct, fn argument, or another binding. Subsequent reads of the original would alias freed memory. Fix: clone the value before the move (if `T: Clone` is satisfied), restructure to take a reference, or sequence the code so the original isn't read after the move. The compiler shows the move site and the use site.	
OWN-002	Cannot borrow moved value	Cannot create a new borrow of a value that has been moved. The borrow target no longer exists at the source's binding.	OWN-002 fires when you try to *borrow* a value that was previously moved. The borrow target no longer exists at the source binding (the value has moved elsewhere). Same fix as OWN-001 — clone or restructure.	
OWN-003	Cannot move value that is borrowed	A move would invalidate an outstanding borrow. Wait for the borrow to end (typically by ending the borrowed-reference's scope) before moving.	Move-while-borrowed: an outstanding `&T` or `&mut T` would dangle if the source moves. The compiler tracks active borrows and rejects moves that would invalidate them. Sequence so the borrow ends before the move (typically by ending the borrow's lexical scope).	
OWN-004	Cannot mutably borrow value already borrowed	Two simultaneous mutable borrows would alias. Sequence the borrows or use interior mutability via Atomic<T> for cross-thread sharing.	Two simultaneous `&mut T` of the same value would alias mutable memory — Nucleor (like Rust) forbids this at compile time. Sequence the borrows so they don't overlap, or use Atomic<T> / per-thread split for genuine cross-thread sharing.	
OWN-005	Cannot shared-borrow mutably-borrowed value	A shared (immutable) borrow cannot coexist with a live mutable borrow — would risk reading partially-mutated state. End the mutable borrow first.	Cannot create `&T` while `&mut T` of the same value is live — the shared reader could observe the mutator mid-update. Drop the mutable borrow first, then take the shared one.	
OWN-006	Cannot assign through shared reference	Shared references (`&T`) are read-only by construction. Use `&mut T` if you need to assign through the reference.	`&T` is read-only by definition. Trying to assign through it is a category error. Either change the binding to `&mut T` (which requires the source to be `let mut`), or use Cell/RefCell for interior mutability (with the runtime borrow-tracking cost).	
OWN-007	Cannot assign to borrowed location	Mutating a location that is currently borrowed (directly or via a struct-field reachable through the borrow) would invalidate the borrow. End the borrow first.	Assigning to a location that is currently borrowed (or whose enclosing struct is borrowed) would invalidate the borrow — the borrowed value would disappear or change underneath the borrow holder. Drop the borrow first.	
OWN-008	Cannot assign to immutable binding	The binding was declared `let x` (immutable). Use `let mut x` to allow assignment after the initial bind.	`let x` declares an immutable binding; subsequent `x = ...` is rejected. Use `let mut x` to make the binding mutable. (Note: `let mut x = 5; let x = x + 1;` is also valid — the second `let` shadows the first as a new binding.)	
OWN-009	Cannot return reference to local value	The function would return a reference to a stack-local value; the value's storage is freed at function exit so the reference would dangle. Return by value or take/return a reference with a longer-lived source.	Returning `&local` from a function returns a reference to stack memory that's freed at function exit. Either return the value by-move (which transfers ownership), allocate on the heap and return Box<T>, or take a `&mut Out` parameter and write into it.	
OWN-010	Cannot bind a reference that escapes an inner block	A reference's source value lives in a nested scope that ends before the binding's scope; the reference would dangle. Move the source out to the enclosing scope, or hold the source by value at the outer scope.	Inner-block lifetime escape: `let r = { let x = 5; &x };` would leave `r` pointing at freed `x`. The compiler tracks scope-exit destruction and rejects bindings that would outlive their referent. Move the source value out to the outer scope, or hold by value rather than reference.	
OWN-011	Cannot mutably borrow immutable value	`&mut T` requires the source to be declared `let mut x`. Make the binding mutable, or restructure to take a shared `&T` instead.	`&mut T` requires the source to be declared `let mut`. Add `mut` to the binding, or use `&T` if you don't actually need to write through the reference.	
OWN-012	Cannot destroy arena with live references	An arena cannot be destroyed while references into it are still live — would dangle every outstanding pointer. End all borrows from the arena before destroy.	Arenas free all their backing storage on destroy. If any reference into the arena is still live, the destroy would dangle every outstanding pointer. End all borrows from the arena (typically by exiting the scope where they live) before destroy.	
OWN-013	Spawn block captures non-Send DeviceBuffer value	GPU `DeviceBuffer` handles are pinned to the thread that allocated them, so they are not `Send`. A `spawn { ... }` block runs on a fresh thread and cannot capture them. Move the launch into the owning thread, or pass a host-side handle that the worker can re-acquire its own DeviceBuffer from.	Spawn-capture pass detected a `spawn { ... }` block capturing a `DeviceBuffer` value. GPU memory handles are pinned to the thread that allocated them via the CUDA / Vulkan context binding — the worker thread that spawn dispatches to has no context attached, so the capture would be undefined behavior at runtime. Either keep the launch on the owning thread (process the buffer there before spawning the consumer), or pass a host-side handle (CPU-side index / descriptor) that the worker re-acquires its own DeviceBuffer from with its own context.	
RACE-001	Non-Sendable value crosses a spawned boundary	RFC-0035 requires values moved into spawned work to be Sendable. Primitive values, Sendable containers, and types with an explicit `impl Sendable for T` pass this first check.	Add an explicit `impl Sendable for T {}` when the type is safe to move across tasks, or keep the value on the originating thread.	
RACE-002	Actor method called without await	Actor calls can suspend on the actor executor. Calling them without await would bypass the serialization contract.	Await actor method calls so the actor executor serializes access.	
RACE-003	Actor internal state escapes isolation	Actor fields are isolated mutable state. Direct field access from outside the actor bypasses the actor executor and is rejected.	Expose actor state through an actor method instead of reading or assigning fields directly.	
RACE-004	Shared mutable state without Mutex or actor	Shared mutable state needs an actor or synchronization primitive so two tasks cannot mutate it concurrently.	Wrap shared mutable payloads in an actor or an audited synchronization primitive.	
RACE-005	&mut value crosses a thread boundary	A mutable reference crossing a thread boundary can outlive the source stack frame or race the original owner. Move owned data or use synchronization.	Do not pass `&mut T` to spawn/thread APIs; move an owned Sendable value or pass a synchronized handle.	
RACE-006	Reentrant actor lock violation	The same actor lock cannot be re-entered while already held; doing so can deadlock or violate serialized state access.	Refactor the actor method to avoid re-entering the same actor while its lock is held.	
RACE-007	Deadline composition under actor await is invalid	Deadline checking and actor await composition require a scheduler-aware bound. The first pass rejects the combination.	Move the actor await out of the deadline region or use scheduler-aware actor latency tooling when it lands.	
RACE-008	#[not_sendable] type used where Sendable is required	`#[not_sendable]` is an explicit opt-out from structural Sendable inference. The compiler honors it even when fields look safe.	Remove `#[not_sendable]` only if the type is genuinely thread-safe; otherwise keep it out of spawned work.	
RACE-009	Reserved Sendable/actor diagnostic	Reserved for a future RFC-0035 Sendable/actor diagnostic.	Reserved diagnostic; no user action.	
RACE-010	Reserved Sendable/actor diagnostic	Reserved for a future RFC-0035 Sendable/actor diagnostic.	Reserved diagnostic; no user action.	
GOV-001	policy(require_authored) requires authored annotations	The source declares `@policy(require_authored)` at the module level but at least one function lacks an `@authored(\"name\")` annotation. Add `@authored(\"...\")` to every fn, or remove the policy.	The `@policy(require_authored)` module-level attribute requires every fn in the source to carry an `@authored(\"name\")` annotation (the governance audit trail). The audit pass found at least one un-annotated fn. Add `@authored(\"...\")` above each fn, or remove the policy if it doesn't apply to this module.	
GOV-002	policy(no_unsafe) forbids unsafe blocks	The source declares `@policy(no_unsafe)` at the module level but contains an `unsafe { ... }` block. Either remove the unsafe block (preferred) or remove the no_unsafe policy.	The `@policy(no_unsafe)` module-level attribute forbids `unsafe { ... }` blocks anywhere in the source. The audit pass found at least one. Either remove the unsafe block (preferred — usually means switching to a safe API) or remove the no_unsafe policy if the module legitimately needs unsafe operations.	
TNT-001	Tainted data passed to sensitive sink	Tainted data flowing into a function annotated as a sensitive sink. Wrap the value in `sanitize(value)` to strip the taint marker before the call.	Strict-mode taint pass detected tainted data flowing into a function annotated as a sensitive sink. The suggestion is to wrap the value in `sanitize(value)` (which strips the taint marker) before the call. Fires from the tools-suite strict checker, not the s1 main type-check pass.	
TYP-001	Non-exhaustive match (LEGACY — unified under MATCH-001 in v0.5.18; no longer emitted)	Legacy non-exhaustive-match warning. Unified under the canonical MATCH-001 (RFC-0016) in v0.5.18 — TYP-001 is no longer emitted by the main compiler (was always paired with MATCH-001 with identical text; the dual-emit was a noisy adopter UX hazard). The explain entry stays so existing adopter docs / scripts that reference TYP-001 still resolve.	**Legacy** non-exhaustive-match warning. Unified under the canonical MATCH-001 (RFC-0016) in v0.5.18. The main compiler no longer emits TYP-001; only MATCH-001 fires (with identical text). The explain entry stays so existing docs that reference TYP-001 still resolve to a meaningful description.	
TYP-002	Boolean values cannot be used in arithmetic	Booleans are not numeric in Nucleor; `true + false` etc. are rejected. Use `if cond { 1 } else { 0 }` if you need to convert.	Booleans aren't numeric — `true + false`, `bool * bool`, etc. are rejected. The arithmetic operator type-check (in check_expr's binop branch) fires TYP-002 when either operand resolves to bool.	
TYP-003	Unit operands for addition/subtraction must match	RFC-0005 — adding two unit values requires identical dimensions (both must be `unit<T,m>` or both `unit<T,s>`, etc.). Convert one to the other or use multiplication.	RFC-0005 — adding `unit<T,m>` and `unit<T,s>` is dimensionally invalid (length-plus-time has no physical meaning). Convert one to the other via the appropriate physical relationship, or use multiplication (`unit<T,m> * unit<T,1/s>` produces `unit<T,m/s>`).	
TYP-004	Cannot dereference a non-reference value	The `*` (deref) operator only applies to `&T` / `&mut T` / `Box<T>`. Applying it to a value type (`i64`, struct field by value, etc.) is rejected.	The `*` (deref) operator is defined only on `&T`, `&mut T`, and `Box<T>`. Applying it to a value type, struct field by value, or i64/f64 is a category error — those are already values, not references to values.	
TYP-005	Wrong number of arguments	The call site supplies a different number of arguments than the function declared. Check the function signature.	Argument arity mismatch. The function declares N parameters; the call site passed M ≠ N. Check the function signature and the call site. Variadic dispatch isn't supported in v0.2.	
TYP-006	Argument type mismatch in call	Argument N has a type incompatible with parameter N's declared type. Includes taint-marker type mismatches (passing tainted T to a clean T parameter).	Argument N has type incompatible with parameter N's declared type. Includes the taint-marker case: passing `T tainted` to a parameter declared as plain `T` (or vice-versa) fires TYP-006 rather than a separate TAINT-* code.	
TYP-007	Bare numeric literal cannot initialize a unit value	RFC-0005 unit values must be initialized via the unit constructor (e.g. `meters(5.0)`) — a bare `5.0` doesn't carry the dimension tag and would silently mix units.	RFC-0005 unit values must be initialized via the unit constructor (e.g. `meters(5.0)`, not `5.0` alone). A bare numeric literal doesn't carry the dimension tag and would silently mix units when assigned to a `unit<...>` binding.	
TYP-008	Type mismatch for binding	`let x: T = expr` requires `expr` to type-check as `T`. Mismatched types produce TYP-008 with the expected and actual types.	`let x: T = expr` requires `expr` to type-check as `T` (or coerce per the type lattice in RFC-0015 §3). Includes taint-marker mismatches between the declared type and the expression's type.	
TYP-009	Assignment type mismatch	`x = expr` requires `expr` to match `x`'s declared type after the initial bind. Re-binding to a different type isn't allowed without a fresh `let` shadowing.	After the initial bind, `x = expr` requires `expr` to match `x`'s declared type. Re-binding to a different type isn't allowed without a fresh `let` shadowing (which creates a new binding rather than re-typing the existing one).	
TYP-010	Return type mismatch	`return expr` requires `expr` to type-check as the function's declared return type. The body type and the signature type must agree.	`return expr` (or implicit tail-expression return) requires `expr` to type-check as the function's declared `-> T`. Body type and signature type must agree.	
TYP-011	`str + str` not supported (would silently segfault)	`str + str` (and longer chains like `\"a\" + \"b\" + \"c\"`) silently SIGSEGVed pre-v0.4.51 because the binop lowered to i64_add on the string pointers, producing a garbage pointer that crashed in print_str. Use `str_concat(a, b)` to concatenate strings.	Nucleor's i64-everywhere ABI lowers `+` to integer addition. For `str + str` that meant adding two string pointers as i64, producing a garbage pointer that SIGSEGVed when later passed to a string helper (e.g. `print_str`). Pre-v0.4.51 this was silent at compile time. v0.4.51 promotes the pattern to a hard error pointing at `str_concat(a, b)`. Reasoning: the canonical Rust idiom `&str + &str` doesn't compile in Rust either, so adopters expected a compile error and got runtime garbage instead.	
TYP-012	Missing field(s) in struct initialization (would silently default to 0/empty)	Pre-v0.4.62 `Point { x: 1, y: 2 }` for a struct with 3 fields silently defaulted the missing field to 0 / empty. Adopters writing the canonical Rust idiom (which errors with E0063) got a quiet wrong value. Either list every field explicitly or define a `Point::new(x, y)` constructor fn that supplies the rest.	Struct constructor expressions like `Point { x: 1, y: 2 }` must list ALL declared fields. Pre-v0.4.62 the lower silently zero-initialized any missing field — equivalent to a quiet `field: 0` (or `field: \"\"` for str). Rust errors here with E0063, so adopters writing the canonical idiom got a wrong value with no compile-time signal. Workaround: list every field explicitly, OR write a `Point::new(x, y)` constructor fn that supplies the rest.	
TYP-013	Unknown field in struct initialization (would silently drop the extra field)	Pre-v0.4.63 `Point { x: 1, y: 2, z: 3 }` for a 2-field Point silently dropped the extra `z` field (Rust E0560 errors). Check the struct definition and remove the unknown field, or add it to the struct decl.	Pre-v0.4.63 `Point { x: 1, y: 2, z: 3 }` for a 2-field Point silently dropped the extra field — the lower walked the init list in declared order, so any extra entries past the declared count were ignored. Rust errors here with E0560 — adopters writing canonical struct literals got a quiet wrong shape. Either remove the unknown field from the literal, or add it to the struct definition.	
TYP-026	Invalid or unproven `as char`, or non-void function reaches the end without returning a value	`as char` requires a valid Unicode scalar value. Constant casts must be within 0..0x10FFFF and outside 0xD800..0xDFFF; non-constant casts must be guarded by a recognized scalar-range proof such as `v >= 0 && v < 0xD800`. This code also covers non-void functions that can fall through without an explicit return or tail expression.	For `as char`, keep invalid constants out of the cast and guard dynamic codepoints before casting. For missing returns, audit every control-flow path and make the returned value explicit; side-effect-only functions should return void.	
TYP-027	Type inference failed	Strict inference mode found an expression whose type checker returned the empty-type sentinel. The compiler rejects it instead of treating the unknown type as compatible with every annotated type.	Add a concrete type annotation or route the expression through a helper whose return type is known to the type checker. For collection helpers, prefer typed methods or explicit wrappers until strict inference becomes the default.	
TYP-044	Implicit integer width conversion in binding	A binding annotated with one integer width was initialized by another integer width. Silent widening or narrowing is rejected so portability and truncation are explicit.	Cast explicitly with `as` at the binding site, or change the annotation to the expression's real integer width.	
FMT-002	Type does not implement Display for bare `{}` formatting	Bare `{}` formatting for a user struct requires an `impl Display for Type` with `fn fmt(self) -> str`; use `{:?}` for derived structural debug output.	`println!(\"{}\", value)` previously fell through to `int_to_str(value)` for struct values, printing an ABI handle instead of user-facing text. The format expander now hard-errors unless the struct has a Display impl; `println!(\"{:?}\", value)` remains the structural debug path.	
FMT-003	Format string has more arguments than `{}` placeholders (extras would be silently dropped)	`format!(\"{}\", 1, 2, 3)` (more args than placeholders) silently dropped the extras pre-v0.5.11 — including any side effects in the dropped argument expressions. Either add `{}` placeholders for each extra arg or remove the unused args from the call. Mirrors the v0.4.70 placeholder>args check (the loud-direction asymmetry that left this case silent).	Pre-v0.5.11 `format!(\"just {}\", 1, 2, 3)` silently dropped args 2 and 3 — the format expander walked the placeholders and stopped at the first arg, leaving the rest unevaluated/unreferenced. Adopter typos (left an arg after removing a placeholder) and refactor mistakes (renamed a placeholder, kept the arg) hit silently. v0.5.11 mirrors the v0.4.70 placeholder>args check direction so both asymmetries halt cleanly. Side-effecting expressions in dropped args (e.g. `format!(\"{}\", 1, expensive_call())`) no longer evaluate-then-discard.	
TRAIT-001	Missing From conversion for `?` error propagation	`?` on `Result<T, SrcErr>` inside a function returning `Result<U, DstErr>` requires `impl From<SrcErr> for DstErr` when the error payload types differ.	The `?` operator propagates the Err payload early. When the callee error type and enclosing function error type differ, Nucleor now performs the Rust-style `From<SrcErr> for DstErr` conversion. If that impl is absent, continuing would either return the wrong payload layout or silently expose the source error type through the destination API, so the compiler stops with TRAIT-001.	
NUM-001	Mixed-width arithmetic without cast	Nucleor follows Rust's no-implicit-conversion rule. Cast explicitly with `as`: `(u8_val as i32) + i32_val`.	Nucleor models on Rust: numeric types are distinct, no implicit conversion. Cast explicitly with `as`. Reasoning: silent conversions are a recurring bug source (truncation, sign extension).	
