# nuc_name	rt_name
print	__nucleor_print_str
f32_to_str	__nucleor_f32_to_str
f64_to_str_prec	__nucleor_f64_to_str_prec
f32_to_str_prec	__nucleor_f32_to_str_prec
bool_to_str	__nucleor_bool_to_str
int_to_hex	__nucleor_int_to_hex
int_to_bin	__nucleor_int_to_bin
int_to_oct	__nucleor_int_to_oct
int_to_str_force_sign	__nucleor_int_to_str_force_sign
int_to_hex_upper	__nucleor_int_to_hex_upper
f64_to_str_sci	__nucleor_f64_to_str_sci
f64_to_str_sci_upper	__nucleor_f64_to_str_sci_upper
f64_to_str_sci_prec	__nucleor_f64_to_str_sci_prec
f64_to_str_sci_prec_upper	__nucleor_f64_to_str_sci_prec_upper
str_to_i64_radix	__nucleor_str_to_i64_radix
parse_hex	__nucleor_parse_hex
parse_bin	__nucleor_parse_bin
str_pad_left	__nucleor_str_pad_left
str_pad_right	__nucleor_str_pad_right
str_center	__nucleor_str_center
str_join	__nucleor_str_join
str_lines	__nucleor_str_lines
str_chars	__nucleor_str_chars
format_str	__nucleor_format_str
format_hex	__nucleor_format_hex
format2_ii	__nucleor_format2_ii
format2_si	__nucleor_format2_si
format2_ss	__nucleor_format2_ss
format2_is	__nucleor_format2_is
format2_ff	__nucleor_format2_ff
format2_fi	__nucleor_format2_fi
format2_if	__nucleor_format2_if
format3_fff	__nucleor_format3_fff
format_f64	__nucleor_format_f64
dyn_box_make	__nucleor_dyn_box_make
dyn_box_type	__nucleor_dyn_box_type
dyn_box_data	__nucleor_dyn_box_data
dyn_box_free	__nucleor_dyn_box_free
vec_iter_i64	__nucleor_vec_iter_i64
vec_collect_i64	__nucleor_vec_collect_i64
vec_count_i64	__nucleor_vec_count_i64
vec_take_i64	__nucleor_vec_take_i64
vec_chain_i64	__nucleor_vec_chain_i64
vec_position_i64	__nucleor_vec_position_i64
vec_product_i64	__nucleor_vec_product_i64
vec_step_by_i64	__nucleor_vec_step_by_i64
vec_nth_i64	__nucleor_vec_nth_i64
vec_reduce_i64	__nucleor_vec_reduce_i64
vec_skip_i64	__nucleor_vec_skip_i64
vec_map_i64	__nucleor_vec_map_i64
vec_filter_i64	__nucleor_vec_filter_i64
vec_fold_i64	__nucleor_vec_fold_i64
vec_each_i64	__nucleor_vec_each_i64
vec_sum_i64	__nucleor_vec_sum_i64
vec_min_i64	__nucleor_vec_min_i64
vec_max_i64	__nucleor_vec_max_i64
vec_contains_i64	__nucleor_vec_contains_i64
vec_index_of_i64	__nucleor_vec_index_of_i64
vec_reverse_i64	__nucleor_vec_reverse_i64
vec_sort_i64	__nucleor_vec_sort_i64
vec_clone_i64	__nucleor_vec_clone_i64
vec_clear_i64	__nucleor_vec_clear_i64
vec_sum_f64	__nucleor_vec_sum_f64
vec_min_f64	__nucleor_vec_min_f64
vec_max_f64	__nucleor_vec_max_f64
str_to_lower	__nucleor_str_to_lower
str_to_upper	__nucleor_str_to_upper
str_trim	__nucleor_str_trim
str_starts_with	__nucleor_str_starts_with
str_ends_with	__nucleor_str_ends_with
str_index_of	__nucleor_str_index_of
str_contains	__nucleor_str_contains
str_replace	__nucleor_str_replace
str_repeat	__nucleor_str_repeat
str_split	__nucleor_str_split
str_trim_start	__nucleor_str_trim_start
str_trim_end	__nucleor_str_trim_end
str_is_empty	__nucleor_str_is_empty
str_count	__nucleor_str_count
str_reverse	__nucleor_str_reverse
format_bool	__nucleor_format_bool
format3_iii	__nucleor_format3_iii
format3_sii	__nucleor_format3_sii
format3_iss	__nucleor_format3_iss
format3_sss	__nucleor_format3_sss
format3_ssi	__nucleor_format3_ssi
format3_sis	__nucleor_format3_sis
format3_iis	__nucleor_format3_iis
format3_isi	__nucleor_format3_isi
format3_iif	__nucleor_format3_iif
format3_iff	__nucleor_format3_iff
format3_sff	__nucleor_format3_sff
format3_ssf	__nucleor_format3_ssf
format3_sif	__nucleor_format3_sif
format3_isf	__nucleor_format3_isf
vec_avg_i64	__nucleor_vec_avg_i64
vec_dot_i64	__nucleor_vec_dot_i64
vec_count_eq_i64	__nucleor_vec_count_eq_i64
vec_any_i64	__nucleor_vec_any_i64
vec_all_i64	__nucleor_vec_all_i64
char_is_alpha	__nucleor_char_is_alpha
char_is_digit	__nucleor_char_is_digit
char_is_alnum	__nucleor_char_is_alnum
char_is_whitespace	__nucleor_char_is_whitespace
char_is_upper	__nucleor_char_is_upper
char_is_lower	__nucleor_char_is_lower
char_is_hex_digit	__nucleor_char_is_hex_digit
char_is_punct	__nucleor_char_is_punct
char_is_ascii	__nucleor_char_is_ascii
char_to_upper	__nucleor_char_to_upper
char_to_lower	__nucleor_char_to_lower
char_digit_value	__nucleor_char_digit_value
rng_int	__nucleor_rng_int
rng_uniform	__nucleor_rng_uniform
rng_normal	__nucleor_rng_normal
rng_bernoulli	__nucleor_rng_bernoulli
rng_exponential	__nucleor_rng_exponential
hashmap_keys	__nucleor_hashmap_keys
hashmap_values	__nucleor_hashmap_values
time_iso_now	__nucleor_time_iso_now
time_format_iso	__nucleor_time_format_iso
fnv1a_64_str	__nucleor_fnv1a_64_str
fnv1a_64_i64	__nucleor_fnv1a_64_i64
murmur3_64	__nucleor_murmur3_64
print_raw	__nucleor_print_raw
eprint_raw	__nucleor_eprint_raw
file_append_string	__nucleor_file_append_string
sb_free	__nucleor_sb_free
now_ms	__nucleor_now_ms
isatty_stdout	__nucleor_isatty_stdout
chr	__nucleor_chr
getcwd	__nucleor_getcwd
getenv	__nucleor_getenv
pipe_create	__nucleor_pipe_create
pipe_write	__nucleor_pipe_write
pipe_close	__nucleor_pipe_close
sha256	__nucleor_sha256
thread_spawn	__nucleor_thread_spawn
thread_join	__nucleor_thread_join
async_spawn	__nucleor_async_spawn
async_await	__nucleor_async_await
mutex_new	__nucleor_mutex_new_value
mutex_lock	__nucleor_mutex_lock_value
mutex_unlock	__nucleor_mutex_unlock_value
channel_new	__nucleor_channel_new
channel_send	__nucleor_channel_send
channel_recv	__nucleor_channel_recv
channel_len	__nucleor_channel_len
channel	__nucleor_channel_new
chan_send	__nucleor_channel_send
chan_recv	__nucleor_channel_recv
chan_len	__nucleor_channel_len
atomic_new	__nucleor_atomic_new
atomic_add	__nucleor_atomic_add
atomic_load	__nucleor_atomic_load
cpu_count	__nucleor_cpu_count
print_f64	__nucleor_print_f64
f64_from_scaled	__nucleor_f64_from_scaled
f32_from_scaled	__nucleor_f32_from_scaled
f64_from_bits	__nucleor_f64_from_bits
f64_to_bits	__nucleor_f64_to_bits
f32_from_bits	__nucleor_f32_from_bits
f32_to_bits	__nucleor_f32_to_bits
f64_to_i32	__nucleor_f64_to_i32
i32_to_f64	__nucleor_i32_to_f64
fabs	__nucleor_fabs
fmod	__nucleor_fmod
sqrt	__nucleor_sqrt
sin	__nucleor_sin
cos	__nucleor_cos
pow	__nucleor_pow
floor	__nucleor_floor
ceil	__nucleor_ceil
round	__nucleor_round
exp	__nucleor_exp
log	__nucleor_log
sigmoid	__nucleor_sigmoid
tanh	__nucleor_tanh
tanh_act	__nucleor_tanh
relu	__nucleor_relu
gelu	__nucleor_gelu
abs	__nucleor_abs
min	__nucleor_min
max	__nucleor_max
clamp	__nucleor_clamp
assert	__nucleor_assert
contract_require	__nucleor_contract_require
contract_ensure	__nucleor_contract_ensure
contract_invariant	__nucleor_contract_invariant
profile_start	__nucleor_profile_start
profile_end	__nucleor_profile_end
ambient_random	__nucleor_ambient_random
rng_seed	__nucleor_rng_seed
random_uniform	__nucleor_random_uniform
random_normal	__nucleor_random_normal
random_int	__nucleor_random_int
random_bool	__nucleor_random_bool
random_choice	__nucleor_random_choice
vec_shuffle	__nucleor_vec_shuffle
vec_sample	__nucleor_vec_sample
random_fill	__nucleor_random_fill
vec_mean_f64	__nucleor_vec_mean_f64
vec_median_f64	__nucleor_vec_median_f64
vec_variance_f64	__nucleor_vec_variance_f64
vec_stddev_f64	__nucleor_vec_stddev_f64
vec_range_i64	__nucleor_vec_range_i64
vec_percentile_f64	__nucleor_vec_percentile_f64
arena_reset	__nucleor_arena_reset
device_alloc	__nucleor_device_alloc
device_transfer	__nucleor_device_transfer
device_free	__nucleor_device_free
tensor_view	__nucleor_tensor_view
py_eval	__nucleor_py_eval
kvcache_new	__nucleor_kvcache_new
kvcache_append	__nucleor_kvcache_append
kvcache_read_prefix	__nucleor_kvcache_read_prefix
kvcache_evict	__nucleor_kvcache_evict
kvcache_compact	__nucleor_kvcache_compact
kvcache_free	__nucleor_kvcache_free
kvprefix_free	__nucleor_kvprefix_free
simd_add	__nucleor_simd_add
simd_mul	__nucleor_simd_mul
simd_fma	__nucleor_simd_fma
vector_new	__nucleor_vector_new
vector_add	__nucleor_vector_add
vector_mul	__nucleor_vector_mul
vector_fma	__nucleor_vector_fma
vector_broadcast	__nucleor_vector_broadcast
vector_reduce_sum	__nucleor_vector_reduce_sum
vec_iter	__nucleor_vec_iter
vec_sum	__nucleor_vec_sum
vec_take	__nucleor_vec_take
vec_skip	__nucleor_vec_skip
vec_chain	__nucleor_vec_chain
vec_map	__nucleor_vec_map
vec_filter	__nucleor_vec_filter
vec_any	__nucleor_vec_any
vec_all	__nucleor_vec_all
vec_count	__nucleor_vec_count
vec_fold	__nucleor_vec_fold
rods_f64_encode	__nucleor_rods_f64_encode
rods_f64_add	__nucleor_rods_f64_add
rods_f64_sub	__nucleor_rods_f64_sub
rods_f64_div	__nucleor_rods_f64_div
wrap_i32	__nucleor_wrap_i32
sat_i32	__nucleor_sat_i32
ambient_scheduler	__nucleor_ambient_scheduler
rwlock_new	__nucleor_rwlock_new
rwlock_read	__nucleor_rwlock_read
rwlock_write	__nucleor_rwlock_write
rwlock_unlock	__nucleor_rwlock_unlock
cancel_token_new	__nucleor_cancel_token_new
cancel_token_cancel	__nucleor_cancel_token_cancel
cancel_token_is_cancelled	__nucleor_cancel_token_is_cancelled
arena_new	__nucleor_arena_new
arena_alloc	__nucleor_arena_alloc
arena_destroy	__nucleor_arena_destroy
assert_eq	__nucleor_assert_eq
assert_ne	__nucleor_assert_ne
panic	__nucleor_panic
as_i8	__nucleor_as_i8
as_i16	__nucleor_as_i16
as_i32	__nucleor_as_i32
as_i64	__nucleor_as_i64
as_u8	__nucleor_as_u8
as_u16	__nucleor_as_u16
as_u32	__nucleor_as_u32
as_u64	__nucleor_as_u64
as_f32	__nucleor_as_f32
as_f64	__nucleor_as_f64
sizeof_i8	__nucleor_sizeof_i8
sizeof_i16	__nucleor_sizeof_i16
sizeof_i32	__nucleor_sizeof_i32
sizeof_i64	__nucleor_sizeof_i64
sizeof_i128	__nucleor_sizeof_i128
sizeof_u8	__nucleor_sizeof_u8
sizeof_u16	__nucleor_sizeof_u16
sizeof_u32	__nucleor_sizeof_u32
sizeof_u64	__nucleor_sizeof_u64
sizeof_u128	__nucleor_sizeof_u128
sizeof_usize	__nucleor_sizeof_usize
sizeof_isize	__nucleor_sizeof_isize
sizeof_f16	__nucleor_sizeof_f16
sizeof_bf16	__nucleor_sizeof_bf16
sizeof_f32	__nucleor_sizeof_f32
sizeof_f64	__nucleor_sizeof_f64
sizeof_bool	__nucleor_sizeof_bool
sizeof_char	__nucleor_sizeof_char
sizeof_ptr	__nucleor_sizeof_ptr
wrapping_add	__nucleor_wrapping_add_i64
wrapping_sub	__nucleor_wrapping_sub_i64
wrapping_mul	__nucleor_wrapping_mul_i64
saturating_add	__nucleor_saturating_add_i64
saturating_sub	__nucleor_saturating_sub_i64
saturating_mul	__nucleor_saturating_mul_i64
checked_add	__nucleor_checked_add_i64
checked_sub	__nucleor_checked_sub_i64
checked_mul	__nucleor_checked_mul_i64
checked_overflow_flag	__nucleor_checked_overflow_flag
checked_div	__nucleor_checked_div_i64
checked_rem	__nucleor_checked_rem_i64
checked_neg	__nucleor_checked_neg_i64
wrapping_div	__nucleor_wrapping_div_i64
wrapping_rem	__nucleor_wrapping_rem_i64
wrapping_neg	__nucleor_wrapping_neg_i64
saturating_neg	__nucleor_saturating_neg_i64
panic_add	__nucleor_panic_add_i64
panic_sub	__nucleor_panic_sub_i64
panic_mul	__nucleor_panic_mul_i64
panic_add_u64	__nucleor_panic_add_u64
panic_sub_u64	__nucleor_panic_sub_u64
panic_mul_u64	__nucleor_panic_mul_u64
panic_div	__nucleor_panic_div_i64
panic_rem	__nucleor_panic_rem_i64
panic_div_u64	__nucleor_panic_div_u64
panic_rem_u64	__nucleor_panic_rem_u64
panic_shr_u64	__nucleor_panic_shr_u64
diag_exit	__nucleor_diag_exit
f64_to_i8	__nucleor_f64_to_i8
f64_to_u8	__nucleor_f64_to_u8
f64_to_i16	__nucleor_f64_to_i16
f64_to_u16	__nucleor_f64_to_u16
f32_to_i8	__nucleor_f32_to_i8
f32_to_u8	__nucleor_f32_to_u8
f32_to_i16	__nucleor_f32_to_i16
f32_to_u16	__nucleor_f32_to_u16
panic_div_i32	__nucleor_panic_div_i32
panic_rem_i32	__nucleor_panic_rem_i32
panic_div_i16	__nucleor_panic_div_i16
panic_rem_i16	__nucleor_panic_rem_i16
panic_div_i8	__nucleor_panic_div_i8
panic_rem_i8	__nucleor_panic_rem_i8
panic_neg	__nucleor_panic_neg_i64
panic_shl	__nucleor_panic_shl_i64
panic_shr	__nucleor_panic_shr_i64
infer_var_type_cached	__nucleor_infer_var_type
infer_fn_return_type_cached	__nucleor_infer_fn_return_type
str_substring_strict	__nucleor_str_substring_strict
wrapping_add_i8	__nucleor_wrapping_add_i8
wrapping_sub_i8	__nucleor_wrapping_sub_i8
wrapping_mul_i8	__nucleor_wrapping_mul_i8
saturating_add_i8	__nucleor_saturating_add_i8
saturating_sub_i8	__nucleor_saturating_sub_i8
saturating_mul_i8	__nucleor_saturating_mul_i8
checked_add_i8	__nucleor_checked_add_i8
checked_sub_i8	__nucleor_checked_sub_i8
checked_mul_i8	__nucleor_checked_mul_i8
wrapping_add_i16	__nucleor_wrapping_add_i16
wrapping_sub_i16	__nucleor_wrapping_sub_i16
wrapping_mul_i16	__nucleor_wrapping_mul_i16
saturating_add_i16	__nucleor_saturating_add_i16
saturating_sub_i16	__nucleor_saturating_sub_i16
saturating_mul_i16	__nucleor_saturating_mul_i16
checked_add_i16	__nucleor_checked_add_i16
checked_sub_i16	__nucleor_checked_sub_i16
checked_mul_i16	__nucleor_checked_mul_i16
wrapping_add_i32	__nucleor_wrapping_add_i32
wrapping_sub_i32	__nucleor_wrapping_sub_i32
wrapping_mul_i32	__nucleor_wrapping_mul_i32
saturating_add_i32	__nucleor_saturating_add_i32
saturating_sub_i32	__nucleor_saturating_sub_i32
saturating_mul_i32	__nucleor_saturating_mul_i32
checked_add_i32	__nucleor_checked_add_i32
checked_sub_i32	__nucleor_checked_sub_i32
checked_mul_i32	__nucleor_checked_mul_i32
wrapping_add_u8	__nucleor_wrapping_add_u8
wrapping_sub_u8	__nucleor_wrapping_sub_u8
wrapping_mul_u8	__nucleor_wrapping_mul_u8
saturating_add_u8	__nucleor_saturating_add_u8
saturating_sub_u8	__nucleor_saturating_sub_u8
saturating_mul_u8	__nucleor_saturating_mul_u8
checked_add_u8	__nucleor_checked_add_u8
checked_sub_u8	__nucleor_checked_sub_u8
checked_mul_u8	__nucleor_checked_mul_u8
wrapping_add_u16	__nucleor_wrapping_add_u16
wrapping_sub_u16	__nucleor_wrapping_sub_u16
wrapping_mul_u16	__nucleor_wrapping_mul_u16
saturating_add_u16	__nucleor_saturating_add_u16
saturating_sub_u16	__nucleor_saturating_sub_u16
saturating_mul_u16	__nucleor_saturating_mul_u16
checked_add_u16	__nucleor_checked_add_u16
checked_sub_u16	__nucleor_checked_sub_u16
checked_mul_u16	__nucleor_checked_mul_u16
wrapping_add_u32	__nucleor_wrapping_add_u32
wrapping_sub_u32	__nucleor_wrapping_sub_u32
wrapping_mul_u32	__nucleor_wrapping_mul_u32
saturating_add_u32	__nucleor_saturating_add_u32
saturating_sub_u32	__nucleor_saturating_sub_u32
saturating_mul_u32	__nucleor_saturating_mul_u32
checked_add_u32	__nucleor_checked_add_u32
checked_sub_u32	__nucleor_checked_sub_u32
checked_mul_u32	__nucleor_checked_mul_u32
wrapping_add_u64	__nucleor_wrapping_add_u64
wrapping_sub_u64	__nucleor_wrapping_sub_u64
wrapping_mul_u64	__nucleor_wrapping_mul_u64
saturating_add_u64	__nucleor_saturating_add_u64
saturating_sub_u64	__nucleor_saturating_sub_u64
saturating_mul_u64	__nucleor_saturating_mul_u64
checked_add_u64	__nucleor_checked_add_u64
checked_sub_u64	__nucleor_checked_sub_u64
checked_mul_u64	__nucleor_checked_mul_u64
print_i8	__nucleor_print_i8
print_i16	__nucleor_print_i16
print_i32	__nucleor_print_i32
print_u8	__nucleor_print_u8
print_u16	__nucleor_print_u16
print_u32	__nucleor_print_u32
print_u64	__nucleor_print_u64
print_hex	__nucleor_print_hex
print_bin	__nucleor_print_bin
vec_u8_new	__nucleor_vec_u8_new
vec_u8_with_capacity	__nucleor_vec_u8_with_capacity
vec_u8_push	__nucleor_vec_u8_push
vec_u8_get	__nucleor_vec_u8_get
vec_u8_set	__nucleor_vec_u8_set
vec_u8_len	__nucleor_vec_u8_len
vec_u8_capacity	__nucleor_vec_u8_capacity
vec_u8_clear	__nucleor_vec_u8_clear
vec_u8_free	__nucleor_vec_u8_free
vec_f32_new	__nucleor_vec_f32_new
vec_f32_with_capacity	__nucleor_vec_f32_with_capacity
vec_f32_push_bits	__nucleor_vec_f32_push_bits
vec_f32_get_bits	__nucleor_vec_f32_get_bits
vec_f32_len	__nucleor_vec_f32_len
vec_f32_free	__nucleor_vec_f32_free
f32_from_int	__nucleor_f32_from_int
f32_to_int	__nucleor_f32_to_int
f32_add	__nucleor_f32_add
f32_sub	__nucleor_f32_sub
f32_mul	__nucleor_f32_mul
f32_div	__nucleor_f32_div
f32_lt	__nucleor_f32_lt
f32_gt	__nucleor_f32_gt
f32_le	__nucleor_f32_le
f32_ge	__nucleor_f32_ge
f32_eq	__nucleor_f32_eq
f32_ne	__nucleor_f32_ne
f64_add	__nucleor_f64_add
f64_sub	__nucleor_f64_sub
f64_mul	__nucleor_f64_mul
f64_div	__nucleor_f64_div
f64_lt	__nucleor_f64_lt
f64_gt	__nucleor_f64_gt
f64_le	__nucleor_f64_le
f64_ge	__nucleor_f64_ge
f64_eq	__nucleor_f64_eq
f64_ne	__nucleor_f64_ne
f32_to_i32	__nucleor_f32_to_i32
f32_to_i64	__nucleor_f32_to_i64
f32_to_u32	__nucleor_f32_to_u32
f32_to_u64	__nucleor_f32_to_u64
f64_to_u64	__nucleor_f64_to_u64
i32_to_f32	__nucleor_i32_to_f32
i64_to_f32	__nucleor_i64_to_f32
f64_to_i64	__nucleor_f64_to_i64
f64_to_u32	__nucleor_f64_to_u32
i64_to_f64	__nucleor_i64_to_f64
f32_to_f64	__nucleor_f32_to_f64
f64_to_f32	__nucleor_f64_to_f32
f32_neg	__nucleor_f32_neg
f32_abs	__nucleor_f32_abs
f32_sqrt	__nucleor_f32_sqrt
f32_exp	__nucleor_f32_exp
f32_log	__nucleor_f32_log
f32_sin	__nucleor_f32_sin
f32_cos	__nucleor_f32_cos
f32_pow	__nucleor_f32_pow
print_f32	__nucleor_print_f32
bf16_from_f32	__nucleor_bf16_from_f32
bf16_to_f32	__nucleor_bf16_to_f32
bf16_add	__nucleor_bf16_add
bf16_mul	__nucleor_bf16_mul
f16_from_f32	__nucleor_f16_from_f32
f16_to_f32	__nucleor_f16_to_f32
f16_add	__nucleor_f16_add
f16_mul	__nucleor_f16_mul
f16_to_str	__nucleor_f16_to_str
bf16_to_str	__nucleor_bf16_to_str
f8e4m3_from_f32	__nucleor_f8e4m3_from_f32
f8e5m2_from_f32	__nucleor_f8e5m2_from_f32
f8e4m3_to_str	__nucleor_f8e4m3_to_str
f8e5m2_to_str	__nucleor_f8e5m2_to_str
f8e4m3_to_f32	__nucleor_f8e4m3_to_f32
f8e5m2_to_f32	__nucleor_f8e5m2_to_f32
dbg	__nucleor_dbg_i64
dbg_f64	__nucleor_dbg_f64
dbg_str	__nucleor_dbg_str
eprint	__nucleor_eprint_str
eprint_int	__nucleor_eprint_int
f32x4_new	__nucleor_f32x4_new
f32x4_splat	__nucleor_f32x4_splat
f32x4_get	__nucleor_f32x4_get
f32x4_add	__nucleor_f32x4_add
f32x4_sub	__nucleor_f32x4_sub
f32x4_mul	__nucleor_f32x4_mul
f32x4_div	__nucleor_f32x4_div
f32x4_dot	__nucleor_f32x4_dot
f32x4_sum	__nucleor_f32x4_sum
f32x4_max	__nucleor_f32x4_max
f32x4_min	__nucleor_f32x4_min
f32x4_free	__nucleor_f32x4_free
i32x4_new	__nucleor_i32x4_new
i32x4_splat	__nucleor_i32x4_splat
i32x4_get	__nucleor_i32x4_get
i32x4_add	__nucleor_i32x4_add
i32x4_sub	__nucleor_i32x4_sub
i32x4_mul	__nucleor_i32x4_mul
i32x4_sum	__nucleor_i32x4_sum
i32x4_free	__nucleor_i32x4_free
string_new	__nucleor_string_new
string_with_capacity	__nucleor_string_with_capacity
string_from_str	__nucleor_string_from_str
string_push_byte	__nucleor_string_push_byte
string_push_str	__nucleor_string_push_str
string_len	__nucleor_string_len
string_capacity	__nucleor_string_capacity
string_get_byte	__nucleor_string_get_byte
string_clear	__nucleor_string_clear
string_as_ptr	__nucleor_string_as_ptr
string_print	__nucleor_string_print
string_eq	__nucleor_string_eq
string_eq_str	__nucleor_string_eq_str
string_starts_with	__nucleor_string_starts_with
string_ends_with	__nucleor_string_ends_with
string_contains	__nucleor_string_contains
string_clone	__nucleor_string_clone
string_free	__nucleor_string_free
string_is_empty	__nucleor_string_is_empty
string_to_uppercase	__nucleor_string_to_uppercase
string_to_lowercase	__nucleor_string_to_lowercase
string_trim	__nucleor_string_trim
string_trim_start	__nucleor_string_trim_start
string_trim_end	__nucleor_string_trim_end
string_find	__nucleor_string_find
string_substring	__nucleor_string_substring
string_char_at	__nucleor_string_char_at
string_as_str	__nucleor_string_as_str
hashmap_new	__nucleor_hashmap_new
hashmap_with_capacity	__nucleor_hashmap_with_capacity
hashmap_insert	__nucleor_hashmap_insert
hashmap_get	__nucleor_hashmap_get
hashmap_contains	__nucleor_hashmap_contains
hashmap_contains_key	__nucleor_hashmap_contains_key
hashmap_remove	__nucleor_hashmap_remove
hashmap_len	__nucleor_hashmap_len
hashmap_capacity	__nucleor_hashmap_capacity
hashmap_clear	__nucleor_hashmap_clear
hashmap_free	__nucleor_hashmap_free
hashmap_is_empty	__nucleor_hashmap_is_empty
hashmap_get_or	__nucleor_hashmap_get_or
hashmap_merge	__nucleor_hashmap_merge
hashmap_clone	__nucleor_hashmap_clone
time_monotonic_ns	__nucleor_time_monotonic_ns
time_monotonic_us	__nucleor_time_monotonic_us
time_monotonic_ms	__nucleor_time_monotonic_ms
deadline_enter	__nucleor_deadline_enter
deadline_exit	__nucleor_deadline_exit
deadline_poll	__nucleor_deadline_poll
deadline_check	__nucleor_deadline_check
max_depth_enter	__nucleor_max_depth_enter
max_depth_exit	__nucleor_max_depth_exit
time_wall_ns	__nucleor_time_wall_ns
time_wall_us	__nucleor_time_wall_us
time_wall_ms	__nucleor_time_wall_ms
time_wall_seconds	__nucleor_time_wall_seconds
time_year	__nucleor_time_year
time_month	__nucleor_time_month
time_day	__nucleor_time_day
time_hour	__nucleor_time_hour
time_minute	__nucleor_time_minute
time_second	__nucleor_time_second
time_weekday	__nucleor_time_weekday
time_day_of_year	__nucleor_time_day_of_year
time_elapsed_ms	__nucleor_time_elapsed_ms
sleep_ms	__nucleor_sleep_ms
sleep_us	__nucleor_sleep_us
env_get	__nucleor_env_get
env_get_or	__nucleor_env_get_or
env_set	__nucleor_env_set
env_unset	__nucleor_env_unset
env_has	__nucleor_env_has
env_keys	__nucleor_env_keys
process_id	__nucleor_process_id
os_family	__nucleor_os_family
os_pointer_width	__nucleor_os_pointer_width
vecdeque_new	__nucleor_vecdeque_new
vecdeque_with_capacity	__nucleor_vecdeque_with_capacity
vecdeque_push_back	__nucleor_vecdeque_push_back
vecdeque_push_front	__nucleor_vecdeque_push_front
vecdeque_pop_front	__nucleor_vecdeque_pop_front
vecdeque_pop_back	__nucleor_vecdeque_pop_back
vecdeque_get	__nucleor_vecdeque_get
vecdeque_set	__nucleor_vecdeque_set
vecdeque_len	__nucleor_vecdeque_len
vecdeque_capacity	__nucleor_vecdeque_capacity
