"layer","finding_id","severity","root_cause_bucket","audit_doc","source_line","original_reproducer","expected_invariant","status_v100","status_candidate","status_final","closing_commit","validation_command","validation_result","perf_result","notes"
"Layer 5 Concurrency/RT","F-CONC-007","High","concurrency_and_rt","docs/audit/findings/audit_recon_pass1_concurrency_2026-05-08.md","235","","- Windows channel uses 100ms polling for blocked send/recv (non-RT)  [HIGH]","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_concurrency_audit_slice.ps1 -Finding F-CONC-007","PASS rc=0; Windows channel uses CONDITION_VARIABLE/SleepConditionVariableCS, omits 100ms not_empty/not_full polling, and channel roundtrip/contention tests pass","promoted 1.1.0 no-link 4.088s; runtime/source/test closure only","closed by condition-variable wait/notify and repaired channel contention proof"
"Layer 5 Concurrency/RT","F-CONC-016","High","concurrency_and_rt","docs/audit/findings/audit_recon_pass1_concurrency_2026-05-08.md","406","","- Verify suite has no contention test, no double-free test, no platform-divergence test  [HIGH]","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_concurrency_audit_slice.ps1 -Finding F-CONC-016","PASS rc=0; mutex contention, channel contention, future double-get, recursive mutex semantics, and forged-handle negative fixtures all pass","promoted 1.1.0 no-link 4.088s; test/ledger closure only","closed by adding missing contention/double-consume/platform-semantics coverage and validating existing forged-handle negative"
"Layer 3 Diagnostics","F-DIAG-001","High","diagnostic_contract","docs/audit/findings/audit_recon_pass1_diagnostics_2026-05-08.md","136","","- Parse-time diagnostics emit via `panic(...)` with no source location  [HIGH]","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_diagnostics_audit_slice.ps1 -Finding F-DIAG-001","PASS rc=0; parse panic fixtures PARSE-LET-SEMI and NAM-001 include line:column evidence","promoted 1.1.0 after diagnostics slice","closed by token line/column metadata and parser panic messages carrying line:column"
"Layer 3 Diagnostics","F-DIAG-003","Critical","diagnostic_contract","docs/audit/findings/audit_recon_pass1_diagnostics_2026-05-08.md","208","","- OWN-001 (use-after-move) is emitted at ""warning"" severity, build succeeds RC=0  [CRITICAL]","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_diagnostics_audit_slice.ps1 -Finding F-DIAG-003","PASS rc=0; OWN-001 exits nonzero as error in use-after-move, borrow-after-move, and Box use-after-move fixtures","promoted 1.1.0 after diagnostics slice","main compiler and tools-suite mirror emit OWN-001 at error severity"
"Layer 3 Diagnostics","F-DIAG-004","High","diagnostic_contract","docs/audit/findings/audit_recon_pass1_diagnostics_2026-05-08.md","255","","- `find_linecol_in_source(source, arg, arg)` returns line=0 col=0 for non-bare-ident args  [HIGH]","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_diagnostics_audit_slice.ps1 -Finding F-DIAG-004","PASS rc=0; RACE-005 for thread_spawn(worker, &mut x) renders a caret frame at the argument site","promoted 1.1.0 after diagnostics slice","spawn-boundary checker now computes line/column from the call argument byte offset"
"Layer 3 Diagnostics","F-DIAG-005","High","diagnostic_contract","docs/audit/findings/audit_recon_pass1_diagnostics_2026-05-08.md","286","","- 23 `diag_add_ex` call sites pass `0, 0` literals for line/col  [HIGH]","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_diagnostics_audit_slice.ps1 -Finding F-DIAG-005","PASS rc=0; static scan finds no diag_add_ex(...,0,0) in s1 and ATOMIC-001 renders a frame","promoted 1.1.0 after diagnostics slice","hard-coded 0,0 sites replaced by fn/symbol/global location helpers"
"Layer 3 Diagnostics","F-DIAG-006","High","diagnostic_contract","docs/audit/findings/audit_recon_pass1_diagnostics_2026-05-08.md","314","","- 17 emitted codes have no negative test in `tests/err/`  [HIGH]","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_diagnostics_audit_slice.ps1 -Finding F-DIAG-006","PASS rc=0; listed diagnostics including TNT-001 have tests/err EXPECT coverage","promoted 1.1.0 after diagnostics slice","coverage validator checks EXPECT headers for the audit-listed emitted codes"
"Layer 3 Diagnostics","F-DIAG-010","High","diagnostic_contract","docs/audit/findings/audit_recon_pass1_diagnostics_2026-05-08.md","397","","- TNT-001 has a suggestion entry but no actual emission path  [HIGH]","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_diagnostics_audit_slice.ps1 -Finding F-DIAG-010","PASS rc=0; tainted<str> flowing to print emits error[TNT-001] with source frame","promoted 1.1.0 after diagnostics slice","main compiler now enforces explicit tainted<T> values at sensitive sinks unless sanitized"
"Layer 3 Diagnostics","F-DIAG-014","High","diagnostic_contract","docs/audit/findings/audit_recon_pass1_diagnostics_2026-05-08.md","479","","- Negative-test runner accepts diagnostic-presence regex without checking exit code  [HIGH]","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_diagnostics_audit_slice.ps1 -Finding F-DIAG-014","PASS rc=0; Bash and PowerShell verify runners reject zero-exit negative tests and read EXPECT diagnostic codes","promoted 1.1.0 after diagnostics slice","negative gate is exit-code aware and EXPECT-code aware"
"Layer 10 Examples/Docs/Install","Critical-1","Critical","docs_and_release_surface","docs/audit/findings/audit_recon_pass1_examples_docs_2026-05-08.md","175","","- `nuc help` advertises three subcommands that don't exist","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_examples_docs_audit_slice.ps1 -Finding Critical-1","PASS rc=0; add remove update no longer return Unknown command and route to package-management diagnostics","promoted 1.1.0 self-host md5=9db1916660cf5770162b3105df5a3fcd","tools-suite dispatcher now mirrors s1 aliases"
"Layer 10 Examples/Docs/Install","Critical-2","Critical","docs_and_release_surface","docs/audit/findings/audit_recon_pass1_examples_docs_2026-05-08.md","181","","- README-promised diagnostic codes are not in `nuc explain`","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_examples_docs_audit_slice.ps1 -Finding Critical-2","PASS rc=0; README-marketed G-series diagnostics and PARSE-LET-SEMI resolve through nuc explain","promoted 1.1.0 self-host md5=9db1916660cf5770162b3105df5a3fcd","explain database populated for shipped memory-safety codes plus new parser code"
"Layer 10 Examples/Docs/Install","High-1","High","docs_and_release_surface","docs/audit/findings/audit_recon_pass1_examples_docs_2026-05-08.md","190","","- `docs/language-reference.md` self-identifies as v0.2 in a v1.0 ship","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_examples_docs_audit_slice.ps1 -Finding High-1","PASS rc=0; language reference is v1.x aligned and lists RFC-0062 G-series diagnostics","promoted 1.1.0 self-host md5=9db1916660cf5770162b3105df5a3fcd","also corrected BOM policy after lexer hardening"
"Layer 10 Examples/Docs/Install","High-2","High","docs_and_release_surface","docs/audit/findings/audit_recon_pass1_examples_docs_2026-05-08.md","196","","- `examples/README.md` install snippet writes wrong run path","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_examples_docs_audit_slice.ps1 -Finding High-2","PASS rc=0; examples README uses target paths for hello and my_demo on Windows and POSIX","promoted 1.1.0 self-host md5=9db1916660cf5770162b3105df5a3fcd","examples path contract now matches compiler output directory"
"Layer 10 Examples/Docs/Install","High-3","High","docs_and_release_surface","docs/audit/findings/audit_recon_pass1_examples_docs_2026-05-08.md","207","","- README/architecture promise build flags that the binary silently swallows","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_examples_docs_audit_slice.ps1 -Finding High-3","PASS rc=0; unknown build flags hard-error while --release and --tier 0/1/2 are accepted and mapped to NUCLEOR_LLVM_OPT","promoted 1.1.0 self-host md5=9db1916660cf5770162b3105df5a3fcd","native link cache key now includes optimizer flag to prevent cross-tier cache reuse"
"Layer 10 Examples/Docs/Install","High-4","High","docs_and_release_surface","docs/audit/findings/audit_recon_pass1_examples_docs_2026-05-08.md","221","","- `docs/g1-default-flip-adopter-guide.md` describes a flip the README claims has shipped","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_examples_docs_audit_slice.ps1 -Finding High-4","PASS rc=0; G1 adopter guide is v1.0 retrospective; manual_drop opt-out and legacy env note verified","promoted 1.1.0 self-host md5=9db1916660cf5770162b3105df5a3fcd","guide no longer describes the default flip as future work"
"Layer 1 Lexer/Parser/AST","F-001","Critical","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","34","","[Critical] [Crash] Compiler segfaults on expression in type position","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-001","PASS rc=0; lexer/parser audit invariant holds for F-001","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-002","Critical","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","44","","[Critical] [Stack overflow] Deep `if` nesting hangs/crashes parser around 4000 levels","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-002","PASS rc=0; lexer/parser audit invariant holds for F-002","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-003","Critical","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","51","","[Critical] [Silent accept] Stray top-level garbage characters silently accepted","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-003","PASS rc=0; lexer/parser audit invariant holds for F-003","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-004","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","62","","[High] [Silent accept] Bare `~` (tilde) silently dropped in expression position","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-004","PASS rc=0; lexer/parser audit invariant holds for F-004","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-005","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","68","","[High] [Silent accept] Bare `$` silently dropped in identifier position","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-005","PASS rc=0; lexer/parser audit invariant holds for F-005","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-006","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","73","","[High] [Silent accept] Bare `\` (backslash) silently dropped","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-006","PASS rc=0; lexer/parser audit invariant holds for F-006","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-007","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","79","","[High] [Silent accept] BOM byte (UTF-8 EF BB BF) silently consumed at file start","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-007","PASS rc=0; lexer/parser audit invariant holds for F-007","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-008","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","84","","[High] [Silent accept] Smart quotes silently dropped (no diagnostic)","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-008","PASS rc=0; lexer/parser audit invariant holds for F-008","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-009","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","90","","[High] [Silent accept] Zero-width space inside keyword silently consumed","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-009","PASS rc=0; lexer/parser audit invariant holds for F-009","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-010","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","96","","[High] [Wrong-class] Non-ASCII identifier characters silently consumed mid-source","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-010","PASS rc=0; lexer/parser audit invariant holds for F-010","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-011","Critical","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","102","","[Critical] [Silent miscompile + corruption] NUL byte mid-source truncates compilation silently","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-011","PASS rc=0; lexer/parser audit invariant holds for F-011","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-012","Critical","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","109","","[Critical] [Silent miscompile] `let x: i64 = 1 2 3 4 5;` silently parses, drops 2/3/4","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-012","PASS rc=0; lexer/parser audit invariant holds for F-012","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-013","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","121","","[High] [Silent accept] Missing semicolon after `let` statement silently accepted","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-013","PASS rc=0; lexer/parser audit invariant holds for F-013","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-014","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","134","","[High] [Silent accept] Extra closing braces `}}}}` at module scope silently accepted","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-014","PASS rc=0; lexer/parser audit invariant holds for F-014","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-016","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","151","","[High] [Silent accept] `0x`, `0b`, `0o` with no digits silently produce literal `0`","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-016","PASS rc=0; lexer/parser audit invariant holds for F-016","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-017","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","156","","[High] [Silent accept] `0x_` (underscore-only digit body) silently produces 0","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-017","PASS rc=0; lexer/parser audit invariant holds for F-017","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-018","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","161","","[High] [Silent accept] Trailing underscore in integer literal silently accepted","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-018","PASS rc=0; lexer/parser audit invariant holds for F-018","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-019","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","166","","[High] [Silent accept] Double underscore `1__2` silently accepted in numeric literal","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-019","PASS rc=0; lexer/parser audit invariant holds for F-019","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
